Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	XL_1 Spectral Count	XL_2 Spectral Count	XL_3 Spectral Count	nonXL_1 Spectral Count	nonXL_2 Spectral Count	nonXL_3 Spectral Count	XL_1 Unique Spectral Count	XL_2 Unique Spectral Count	XL_3 Unique Spectral Count	nonXL_1 Unique Spectral Count	nonXL_2 Unique Spectral Count	nonXL_3 Unique Spectral Count	XL_1 Total Spectral Count	XL_2 Total Spectral Count	XL_3 Total Spectral Count	nonXL_1 Total Spectral Count	nonXL_2 Total Spectral Count	nonXL_3 Total Spectral Count	XL_1 Intensity	XL_2 Intensity	XL_3 Intensity	nonXL_1 Intensity	nonXL_2 Intensity	nonXL_3 Intensity	XL_1 MaxLFQ Intensity	XL_2 MaxLFQ Intensity	XL_3 MaxLFQ Intensity	nonXL_1 MaxLFQ Intensity	nonXL_2 MaxLFQ Intensity	nonXL_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|A6NFD8|HELT_HUMAN	A6NFD8	HELT_HUMAN	HELT	242	Homo sapiens	2:Experimental evidence at transcript level	Hairy and enhancer of split-related protein HELT	0.6731	0.9879	1	5	5	5	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	5397017.5	5603253.5	5559738.5	1.2563196E7	1.053656E7	7881127.5	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NHG4|DDTL_HUMAN	A6NHG4	DDTL_HUMAN	DDTL	134	Homo sapiens	2:Experimental evidence at transcript level	D-dopachrome decarboxylase-like protein	1.0	0.999	4	13	0	13	0	0	0	5	4	4	0	0	0	0	0	0	0	0	0	5	4	4	0.0	2150769.8	0.0	1.14391136E8	1.39768752E8	1.13333592E8	0.0	0.0	0.0	7.1352328E7	7.502052E7	7.0327312E7	sp|P30046|DOPD_HUMAN
sp|A6NHL2|TBAL3_HUMAN	A6NHL2	TBAL3_HUMAN	TUBAL3	446	Homo sapiens	1:Experimental evidence at protein level	Tubulin alpha chain-like 3	0.9933	0.999	6	1	1	56	0	0	0	1	0	0	0	0	0	1	0	0	7	6	6	12	13	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A8MWD9|RUXGL_HUMAN	A8MWD9	RUXGL_HUMAN	SNRPGP15	76	Homo sapiens	5:Protein uncertain	Putative small nuclear ribonucleoprotein G-like protein 15	0.9991	0.999	2	10	0	10	0	2	2	2	2	2	0	0	0	0	0	0	0	2	2	2	2	2	1.294072E7	1.1558655E7	1.5234172E7	1.18511632E8	1.19237024E8	1.28716448E8	7166718.5	6380285.0	8385433.0	6.53539E7	6.4623064E7	7.0836992E7	sp|P62308|RUXG_HUMAN
sp|A8MXV4|NUD19_HUMAN	A8MXV4	NUD19_HUMAN	NUDT19	375	Homo sapiens	1:Experimental evidence at protein level	Acyl-coenzyme A diphosphatase NUDT19	0.879	0.9965	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	3918729.8	0.0	7158919.5	0.0	0.0	0.0	0.0	0.0	0.0	
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	Homo sapiens	1:Experimental evidence at protein level	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.0	0.999	5	48	0	48	8	8	6	9	9	8	0	0	0	0	0	0	8	8	6	9	9	8	6.6565548E7	7.3390152E7	6.3210764E7	8.7097786E8	8.9449926E8	9.3682611E8	1.8262466E7	1.9252028E7	1.7873372E7	2.60989136E8	2.64199472E8	2.76023808E8	
sp|E9PRG8|CK098_HUMAN	E9PRG8	CK098_HUMAN	C11orf98	123	Homo sapiens	4:Protein predicted	Uncharacterized protein C11orf98	1.0	0.999	2	7	7	7	1	0	1	1	2	2	1	0	1	1	2	2	1	0	1	1	2	2	1825448.1	1225510.9	1305667.2	1.9786976E7	2.2963284E7	2.3731548E7	0.0	0.0	0.0	1.1072918E7	1.2939874E7	1.3137166E7	
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	Homo sapiens	1:Experimental evidence at protein level	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1.0	0.9985	4	9	9	9	0	0	0	2	4	3	0	0	0	2	4	3	0	0	0	2	4	3	0.0	0.0	0.0	2.0128264E7	2.6963716E7	9891246.0	0.0	0.0	0.0	9852114.0	1.0545258E7	1.3780373E7	
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX39A	1.0	0.999	19	20	20	79	1	2	1	4	5	7	1	2	1	4	5	7	8	10	9	16	17	19	4168789.5	9372677.0	6430297.0	5.251664E7	5.1210308E7	5.2006552E7	3189194.8	3670864.5	3148899.0	1.5982773E7	1.6595386E7	1.8262684E7	
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	Homo sapiens	1:Experimental evidence at protein level	Cytosolic acyl coenzyme A thioester hydrolase	1.0	0.999	8	21	20	21	0	0	0	7	6	8	0	0	0	7	6	7	0	0	0	7	6	8	4820141.0	3672537.0	2851638.0	1.76530448E8	1.17128608E8	1.8626696E8	3773497.8	3114797.5	0.0	4.6727384E7	5.5958292E7	5.0860676E7	
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	Homo sapiens	1:Experimental evidence at protein level	Unconventional myosin-Ic	1.0	0.9987	7	14	14	16	0	0	0	5	4	5	0	0	0	5	4	5	0	0	0	6	4	6	0.0	0.0	335323.44	3.0327282E7	2.8476086E7	2.7248482E7	0.0	0.0	0.0	1.217149E7	1.0908052E7	1.1460184E7	
sp|O00203|AP3B1_HUMAN	O00203	AP3B1_HUMAN	AP3B1	1094	Homo sapiens	1:Experimental evidence at protein level	AP-3 complex subunit beta-1	1.0	0.9988	7	10	10	10	0	0	1	4	2	3	0	0	1	4	2	3	0	0	1	4	2	3	0.0	2634900.5	1003875.25	2.2927168E7	1.765394E7	2.5102492E7	0.0	1968669.0	0.0	6534051.0	4724659.0	6473052.5	
sp|O00217|NDUS8_HUMAN	O00217	NDUS8_HUMAN	NDUFS8	210	Homo sapiens	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1.0	0.999	4	10	10	10	0	0	0	3	2	5	0	0	0	3	2	5	0	0	0	3	2	5	237561.61	188749.9	311398.78	3.0390442E7	3.2706864E7	3.3698548E7	0.0	0.0	0.0	1.2041231E7	1.4314732E7	1.443641E7	
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	Homo sapiens	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 11	1.0	0.999	69	1206	1206	1206	254	261	233	151	151	156	254	261	233	151	151	156	254	261	233	151	151	156	8.7030956E10	9.6086589E10	9.643547E10	1.99336018E11	1.96427268E11	1.87379958E11	6.3945211E9	6.3667103E9	6.4249928E9	1.38806129E10	1.40347013E10	1.41215058E10	
sp|O00232|PSD12_HUMAN	O00232	PSD12_HUMAN	PSMD12	456	Homo sapiens	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 12	1.0	0.999	77	1740	1740	1740	351	361	355	225	225	223	351	361	355	225	225	223	351	361	355	225	225	223	6.9265269E10	6.4525619E10	6.5928286E10	1.41616595E11	1.30652643E11	1.17172494E11	4.7492844E9	4.6102426E9	4.7398774E9	9.5884575E9	9.4990182E9	9.4449838E9	
sp|O00233|PSMD9_HUMAN	O00233	PSMD9_HUMAN	PSMD9	223	Homo sapiens	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 9	1.0	0.999	8	19	19	19	4	4	7	2	1	1	4	4	7	2	1	1	4	4	7	2	1	1	6.0835852E7	5.8786988E7	6.5331452E7	2.9895444E7	2.6772776E7	1.6337005E7	1.4404351E7	1.4182833E7	1.5793792E7	1.2003684E7	1.5183393E7	1.2304074E7	
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	Homo sapiens	1:Experimental evidence at protein level	Membrane-associated progesterone receptor component 1	1.0	0.9989	5	14	10	14	0	0	0	4	6	4	0	0	0	2	5	3	0	0	0	4	6	4	0.0	0.0	789522.2	3.0561236E7	3.471282E7	3.765188E7	0.0	0.0	0.0	1.3399927E7	1.6970666E7	1.7868538E7	
sp|O00273|DFFA_HUMAN	O00273	DFFA_HUMAN	DFFA	331	Homo sapiens	1:Experimental evidence at protein level	DNA fragmentation factor subunit alpha	0.9999	0.9983	3	5	5	5	0	0	0	1	2	2	0	0	0	1	2	2	0	0	0	1	2	2	0.0	171929.42	220733.84	5101826.0	5148714.5	7672272.5	0.0	0.0	0.0	4010414.0	4126482.0	6151192.0	
sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	Homo sapiens	1:Experimental evidence at protein level	Chloride intracellular channel protein 1	1.0	0.999	16	64	64	64	7	7	3	16	15	16	7	7	3	16	15	16	7	7	3	16	15	16	4.3689316E7	4.775792E7	4.5919492E7	7.7469242E8	7.2921024E8	7.8630656E8	1.01043E7	9608692.0	9573219.0	9.522568E7	9.7530352E7	9.974852E7	
sp|O00303|EIF3F_HUMAN	O00303	EIF3F_HUMAN	EIF3F	357	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit F	1.0	0.999	13	58	58	58	5	6	6	13	15	13	5	6	6	13	15	13	5	6	6	13	15	13	3.9615648E7	3.0954724E7	4.9406592E7	3.214648E8	3.04029152E8	3.14148928E8	8213175.5	8933245.0	8586010.0	6.1296292E7	6.1798388E7	6.2128244E7	
sp|O00330|ODPX_HUMAN	O00330	ODPX_HUMAN	PDHX	501	Homo sapiens	1:Experimental evidence at protein level	Pyruvate dehydrogenase protein X component, mitochondrial	1.0	0.999	12	31	31	31	0	2	0	11	9	9	0	2	0	11	9	9	0	2	0	11	9	9	269223.3	4201686.0	0.0	2.52426736E8	2.43173328E8	2.43144816E8	0.0	2669279.2	0.0	7.7654224E7	8.1813136E7	8.0683648E7	
sp|O00399|DCTN6_HUMAN	O00399	DCTN6_HUMAN	DCTN6	190	Homo sapiens	1:Experimental evidence at protein level	Dynactin subunit 6	0.9999	0.9988	2	6	6	6	0	0	0	2	2	2	0	0	0	2	2	2	0	0	0	2	2	2	0.0	0.0	0.0	1.3903515E7	1.4891644E7	1.4536312E7	0.0	0.0	0.0	8245316.5	8623947.0	8723219.0	
sp|O00410|IPO5_HUMAN	O00410	IPO5_HUMAN	IPO5	1097	Homo sapiens	1:Experimental evidence at protein level	Importin-5	1.0	0.999	36	114	110	114	2	4	5	34	36	33	2	4	5	33	34	32	2	4	5	34	36	33	4.409326E7	4.5563132E7	4.5601732E7	6.741536E8	7.4616826E8	7.7836186E8	6731282.0	7010611.5	6247020.0	5.0970808E7	5.1364948E7	5.3204404E7	
sp|O00411|RPOM_HUMAN	O00411	RPOM_HUMAN	POLRMT	1230	Homo sapiens	1:Experimental evidence at protein level	DNA-directed RNA polymerase, mitochondrial	1.0	0.999	14	33	33	33	0	0	0	12	10	11	0	0	0	12	10	11	0	0	0	12	10	11	552417.75	653179.5	0.0	1.05836968E8	7.1868872E7	6.251614E7	0.0	0.0	0.0	1.2858348E7	1.3549457E7	1.2070224E7	
sp|O00422|SAP18_HUMAN	O00422	SAP18_HUMAN	SAP18	153	Homo sapiens	1:Experimental evidence at protein level	Histone deacetylase complex subunit SAP18	1.0	0.9982	4	12	12	12	0	0	0	4	4	4	0	0	0	4	4	4	0	0	0	4	4	4	0.0	0.0	0.0	3.7810876E7	3.2255768E7	3.6253484E7	0.0	0.0	0.0	2.346752E7	2.3202336E7	2.5541024E7	
sp|O00425|IF2B3_HUMAN	O00425	IF2B3_HUMAN	IGF2BP3	579	Homo sapiens	1:Experimental evidence at protein level	Insulin-like growth factor 2 mRNA-binding protein 3	1.0	0.999	14	38	30	38	1	0	2	13	11	11	1	0	1	11	9	8	1	0	2	13	11	11	5804253.0	1374045.0	7250040.0	1.91491456E8	1.37168992E8	1.78658784E8	2936427.8	0.0	4341139.5	3.1204756E7	2.6694014E7	2.8192812E7	
sp|O00429|DNM1L_HUMAN	O00429	DNM1L_HUMAN	DNM1L	736	Homo sapiens	1:Experimental evidence at protein level	Dynamin-1-like protein	1.0	0.9971	7	9	9	9	0	0	0	1	2	6	0	0	0	1	2	6	0	0	0	1	2	6	960055.25	0.0	1720004.8	1.6403388E7	1.6099888E7	1.7878722E7	0.0	0.0	1609985.2	5223276.5	4972559.0	4935387.0	
sp|O00442|RTCA_HUMAN	O00442	RTCA_HUMAN	RTCA	366	Homo sapiens	1:Experimental evidence at protein level	RNA 3'-terminal phosphate cyclase	0.9996	0.998	3	7	7	7	0	0	0	2	2	3	0	0	0	2	2	3	0	0	0	2	2	3	0.0	0.0	0.0	9197924.0	9119166.0	6364205.0	0.0	0.0	0.0	6052945.5	6285589.5	4344603.0	
sp|O00458|IFRD1_HUMAN	O00458	IFRD1_HUMAN	IFRD1	451	Homo sapiens	1:Experimental evidence at protein level	Interferon-related developmental regulator 1	0.9973	0.9988	2	3	3	3	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	2	1	0.0	0.0	0.0	4344629.0	3883454.8	4515769.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00483|NDUA4_HUMAN	O00483	NDUA4_HUMAN	NDUFA4	81	Homo sapiens	1:Experimental evidence at protein level	Cytochrome c oxidase subunit NDUFA4	0.9998	0.9975	3	5	5	5	0	0	1	2	1	1	0	0	1	2	1	1	0	0	1	2	1	1	7081707.0	0.0	5718262.0	7.15466E7	7.352512E7	8.0902448E7	3896617.0	0.0	3279722.5	3.660398E7	3.7380904E7	4.1862112E7	
sp|O00487|PSDE_HUMAN	O00487	PSDE_HUMAN	PSMD14	310	Homo sapiens	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 14	1.0	0.999	41	957	957	957	195	197	194	129	127	115	195	197	194	129	127	115	195	197	194	129	127	115	4.7579533E10	4.7961203E10	5.0551771E10	9.500269E10	9.0187547E10	9.0314482E10	5.7656156E9	5.7498972E9	5.9499028E9	1.13164995E10	1.09450772E10	1.10170327E10	
sp|O00505|IMA4_HUMAN	O00505	IMA4_HUMAN	KPNA3	521	Homo sapiens	1:Experimental evidence at protein level	Importin subunit alpha-4	1.0	0.999	11	32	25	32	2	4	2	8	7	9	2	3	2	6	5	7	2	4	2	8	7	9	2.5699158E7	2.0407082E7	2.448932E7	1.34940992E8	1.7083984E8	1.368156E8	7878907.5	7405530.5	7326006.0	3.7753576E7	4.0664228E7	3.8805932E7	
sp|O00541|PESC_HUMAN	O00541	PESC_HUMAN	PES1	588	Homo sapiens	1:Experimental evidence at protein level	Pescadillo homolog	1.0	0.999	9	20	20	20	0	1	0	8	5	6	0	1	0	8	5	6	0	1	0	8	5	6	3625028.2	2502196.0	1099815.6	5.1350504E7	5.0839348E7	3.9398176E7	1616097.9	1701323.2	1609289.9	1.0437456E7	1.0199385E7	9076436.0	
sp|O00560|SDCB1_HUMAN	O00560	SDCB1_HUMAN	SDCBP	298	Homo sapiens	1:Experimental evidence at protein level	Syntenin-1	1.0	0.999	9	22	22	22	8	7	5	1	0	1	8	7	5	1	0	1	8	7	5	1	0	1	8.3036064E7	8.3533544E7	6.6567024E7	1.2676067E7	2.969462E7	2.1579788E7	1.5894722E7	1.6196153E7	1.8198866E7	1.0675692E7	1.1233574E7	1.3953011E7	
sp|O00566|MPP10_HUMAN	O00566	MPP10_HUMAN	MPHOSPH10	681	Homo sapiens	1:Experimental evidence at protein level	U3 small nucleolar ribonucleoprotein protein MPP10	0.752	0.9918	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	4109287.5	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00567|NOP56_HUMAN	O00567	NOP56_HUMAN	NOP56	594	Homo sapiens	1:Experimental evidence at protein level	Nucleolar protein 56	1.0	0.999	13	40	40	40	2	3	2	11	10	12	2	3	2	11	10	12	2	3	2	11	10	12	4.2851744E7	3.929476E7	6.6610772E7	1.27045952E8	1.2523008E8	1.47318992E8	1.2050732E7	1.1478775E7	1.7954254E7	8.7449408E7	8.4471992E7	8.0042104E7	
sp|O00571|DDX3X_HUMAN	O00571	DDX3X_HUMAN	DDX3X	662	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX3X	1.0	0.999	32	144	36	144	17	19	15	32	32	29	7	7	4	5	7	6	17	19	15	32	32	29	1.01909384E8	1.11208832E8	1.05411496E8	7.1475379E8	7.4539821E8	6.3976531E8	1.0453462E7	1.1339539E7	1.2114135E7	6.264754E7	6.2804536E7	6.0534084E7	
sp|O00592|PODXL_HUMAN	O00592	PODXL_HUMAN	PODXL	558	Homo sapiens	1:Experimental evidence at protein level	Podocalyxin	0.9999	0.9965	3	6	6	6	0	0	0	1	3	2	0	0	0	1	3	2	0	0	0	1	3	2	0.0	0.0	0.0	5809527.0	1.4315435E7	5887516.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00625|PIR_HUMAN	O00625	PIR_HUMAN	PIR	290	Homo sapiens	1:Experimental evidence at protein level	Pirin	1.0	0.9981	4	11	11	11	0	0	0	3	4	4	0	0	0	3	4	4	0	0	0	3	4	4	1698610.0	1427725.2	1903858.9	1.1121128E7	1.1656912E7	1.6320742E7	1148835.2	0.0	1255124.2	5196674.5	4702809.5	6616823.5	
sp|O00629|IMA3_HUMAN	O00629	IMA3_HUMAN	KPNA4	521	Homo sapiens	1:Experimental evidence at protein level	Importin subunit alpha-3	1.0	0.999	5	8	8	15	0	0	0	3	2	3	0	0	0	3	2	3	0	1	0	5	4	5	1872809.2	2820472.2	3380160.2	1.5116324E7	1.4027425E7	2.333424E7	0.0	1391358.4	0.0	9944950.0	9228601.0	9302155.0	
sp|O00743|PPP6_HUMAN	O00743	PPP6_HUMAN	PPP6C	305	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 6 catalytic subunit	1.0	0.999	11	21	21	21	0	0	0	8	5	8	0	0	0	8	5	8	0	0	0	8	5	8	885595.75	3619225.0	1400488.2	1.11183112E8	9.1681496E7	1.02226624E8	0.0	2454792.5	0.0	3.1990494E7	2.9928398E7	3.1929672E7	
sp|O00763|ACACB_HUMAN	O00763	ACACB_HUMAN	ACACB	2458	Homo sapiens	1:Experimental evidence at protein level	Acetyl-CoA carboxylase 2	1.0	0.9989	28	24	24	110	0	0	0	8	4	12	0	0	0	8	4	12	8	9	8	26	24	35	0.0	0.0	0.0	3.8094012E7	2.311191E7	4.621624E7	0.0	0.0	0.0	1.1010338E7	8771003.0	1.0295802E7	
sp|O00764|PDXK_HUMAN	O00764	PDXK_HUMAN	PDXK	312	Homo sapiens	1:Experimental evidence at protein level	Pyridoxal kinase	1.0	0.999	2	4	4	4	0	0	0	1	2	1	0	0	0	1	2	1	0	0	0	1	2	1	0.0	0.0	0.0	1.3418406E7	2.506028E7	1.2105892E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00767|SCD_HUMAN	O00767	SCD_HUMAN	SCD	359	Homo sapiens	1:Experimental evidence at protein level	Stearoyl-CoA desaturase	0.9611	0.999	1	7	7	7	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	5632469.0	4624882.0	4317229.0	1.1294246E7	1.496651E7	1.0913144E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14523|C2C2L_HUMAN	O14523	C2C2L_HUMAN	C2CD2L	706	Homo sapiens	1:Experimental evidence at protein level	Phospholipid transfer protein C2CD2L	0.8024	0.9938	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.0	0.0	0.0	1735601.8	1809210.0	1807488.5	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14561|ACPM_HUMAN	O14561	ACPM_HUMAN	NDUFAB1	156	Homo sapiens	1:Experimental evidence at protein level	Acyl carrier protein, mitochondrial	0.9993	0.9987	2	4	4	4	0	0	0	1	2	1	0	0	0	1	2	1	0	0	0	1	2	1	0.0	0.0	0.0	3.5142868E7	3.4013796E7	3.6063456E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14562|UBFD1_HUMAN	O14562	UBFD1_HUMAN	UBFD1	309	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin domain-containing protein UBFD1	1.0	0.999	7	21	21	21	5	4	4	2	3	3	5	4	4	2	3	3	5	4	4	2	3	3	3.6378708E7	3.303961E7	3.0468832E7	1.5160084E7	1.4240889E7	1.4397864E7	1.7355224E7	1.7665378E7	1.7065806E7	9115920.0	8313230.5	9934329.0	
sp|O14579|COPE_HUMAN	O14579	COPE_HUMAN	COPE	308	Homo sapiens	1:Experimental evidence at protein level	Coatomer subunit epsilon	1.0	0.999	11	31	31	31	0	1	1	10	8	11	0	1	1	10	8	11	0	1	1	10	8	11	3349285.0	7402800.0	5132589.0	1.40011216E8	1.411264E8	1.7702248E8	5845599.5	5516603.5	3893296.8	2.9190566E7	2.9067664E7	3.5990452E7	
sp|O14617|AP3D1_HUMAN	O14617	AP3D1_HUMAN	AP3D1	1153	Homo sapiens	1:Experimental evidence at protein level	AP-3 complex subunit delta-1	0.9986	0.9957	4	6	6	6	0	0	1	2	2	1	0	0	1	2	2	1	0	0	1	2	2	1	0.0	816301.75	578317.9	1.4567877E7	8632206.0	1.1382324E7	0.0	0.0	0.0	5686848.5	4895150.5	6541536.0	
sp|O14735|CDIPT_HUMAN	O14735	CDIPT_HUMAN	CDIPT	213	Homo sapiens	1:Experimental evidence at protein level	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	0.9993	0.9977	2	4	4	4	0	0	0	1	2	1	0	0	0	1	2	1	0	0	0	1	2	1	0.0	0.0	0.0	7204755.0	8308007.5	0.0	0.0	0.0	0.0	5133766.0	5452152.0	0.0	
sp|O14737|PDCD5_HUMAN	O14737	PDCD5_HUMAN	PDCD5	125	Homo sapiens	1:Experimental evidence at protein level	Programmed cell death protein 5	0.9985	0.999	2	3	3	3	0	2	1	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	2309551.8	5165505.5	5959310.0	0.0	0.0	0.0	0.0	3264246.5	3891754.0	0.0	0.0	0.0	
