Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_222_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H144_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H225_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H240_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H322_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H446_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H457_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H466_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H467_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H471_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T83_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T349_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T350_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T406_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T410_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T413_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T441_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T463_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T488_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T506_01.mzML
A0A087WSY6	A0A087WSY6	KVD15_HUMAN	IGKV3D-15	Immunoglobulin kappa variable 3D-15	8.01238e+06	5.07594e+06	4.56018e+06	4.77302e+06	8.47127e+06	3.03871e+06	6.49149e+06	8.26947e+06	5.19819e+06	5.5017e+06	1.0219e+07	1.68208e+06	4.79217e+06	1.47369e+06	6.95428e+06	1.9804e+06	2.67253e+06	7.99528e+06	8.80443e+06	1.00323e+07
A0A087WSZ0	A0A087WSZ0	KVD08_HUMAN	IGKV1D-8	Immunoglobulin kappa variable 1D-8	1.54942e+06	1.12311e+06	629503	1.04334e+06	1.73565e+06	1.25401e+06	1.9225e+06	1.10125e+06	964272	2.2919e+06	1.46538e+06		763475	738447	3.83691e+06		1.82942e+06	1.58674e+06	1.42442e+06	2.84015e+06
A0A087WW87;P01614	P01614;A0A087WW87	KV240_HUMAN;KVD40_HUMAN	IGKV2-40;IGKV2D-40	Immunoglobulin kappa variable 2-40	364304	1.1083e+06	329342	604276	612202	260462	194024	117815	304495	315875	328499		259321		1.20356e+06		63315.9	806566	1.02096e+06	387894
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8	KV311_HUMAN;KVD11_HUMAN	IGKV3-11;IGKV3D-11	Immunoglobulin kappa variable 3D-11	7.20419e+07	5.01933e+07	6.21513e+07	4.51775e+07	7.9754e+07	1.96024e+07	6.06395e+07	1.63688e+08	5.35802e+07	9.4617e+07	5.77699e+07	1.8085e+07	5.69205e+07	1.54343e+07	7.42213e+07	2.00558e+07	2.55557e+07	1.04399e+08	1.27256e+08	1.41855e+08
A0A0A0MRZ9	A0A0A0MRZ9	LV552_HUMAN	IGLV5-52	Immunoglobulin lambda variable 5-52			188935																	
A0A0A0MS14	A0A0A0MS14	HV145_HUMAN	IGHV1-45	Immunoglobulin heavy variable 1-45					601759		903677				967062				828764			2.19674e+06	275301	
A0A0A0MS15	A0A0A0MS15	HV349_HUMAN	IGHV3-49	Immunoglobulin heavy variable 3-49	2.9116e+07	2.08235e+07	2.39194e+07	2.53628e+07	2.25482e+07	6.51452e+06	1.86373e+07	9.05125e+07	2.21636e+07	3.80115e+07	2.9374e+07	1.34834e+07	1.73605e+07	4.8922e+06	3.31965e+07	4.2172e+07	1.45791e+07	4.90677e+07	3.04455e+07	1.23113e+08
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26	KVD21_HUMAN;KVD41_HUMAN	IGKV6D-21;IGKV6D-41	Immunoglobulin kappa variable 6D-21	950382	1.00698e+06	575387	1.39647e+06	1.82748e+06	609219	9.10694e+06	811396	2.49362e+06	1.1206e+06	462098	703648	3.23885e+06	428530	1.42825e+06	525843	704742	1.02328e+06	1.47548e+06	957811
A0A0B4J1U3	A0A0B4J1U3	LV136_HUMAN	IGLV1-36	Immunoglobulin lambda variable 1-36	1.54939e+06	1.86051e+06	862206	1.52847e+06	1.51665e+06	996842	3.72923e+06	2.25025e+06	1.11475e+06	4.99334e+06	6.82818e+06	2.00903e+06	1.80874e+06	593137	1.33588e+06	1.06756e+06	616380	2.67233e+06	9.63023e+06	2.96994e+06
A0A0B4J1U7	A0A0B4J1U7	HV601_HUMAN	IGHV6-1	Immunoglobulin heavy variable 6-1	1.79274e+08	9.5671e+07	8.39293e+07	1.20317e+08	1.52018e+08	2.63764e+07	1.23766e+08	1.9624e+08	1.94074e+08	2.38802e+08	1.29262e+08	5.5744e+07	9.43992e+07	4.72422e+07	8.37197e+07	1.35513e+08	1.0029e+08	1.94815e+08	1.08002e+08	2.85986e+08
A0A0B4J1V0	A0A0B4J1V0	HV315_HUMAN	IGHV3-15	Immunoglobulin heavy variable 3-15	2.99448e+08	4.23225e+08	2.17368e+08	1.39418e+08	2.74219e+08	7.55674e+07	1.9467e+08	4.27952e+08	1.52451e+08	2.17894e+08	2.47957e+08	9.96455e+07	1.12113e+08	6.92388e+07	3.05913e+08	7.21899e+07	1.57978e+08	5.26654e+08	1.81405e+08	2.6213e+08
A0A0B4J1V2	A0A0B4J1V2	HV226_HUMAN	IGHV2-26	Immunoglobulin heavy variable 2-26	7.69613e+06	2.26484e+06	3.63791e+06	4.51559e+06	7.97944e+06	865728	3.9868e+06	2.57189e+06	3.12619e+06	7.34509e+06	5.98278e+06	2.21641e+06	1.01711e+07	1.46605e+06	5.30803e+06	4.58348e+06	4.30556e+06	5.68924e+06	7.91864e+06	3.29304e+06
A0A0B4J1V6	A0A0B4J1V6	HV373_HUMAN	IGHV3-73	Immunoglobulin heavy variable 3-73	554056	417327	619378	937503	121466	795500	1.79984e+06	1.50638e+06	694439	1.20295e+06	749245				1.74658e+06		98880.2	1.36357e+06	1.55927e+06	233047
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03	HV374_HUMAN	IGHV3-74	Immunoglobulin heavy variable 3-74	9.66396e+07	7.99794e+07	4.17055e+07	1.54739e+07	2.5199e+07	2.29815e+07	7.41061e+07	3.53312e+07	2.73945e+07	5.15126e+07	5.71277e+07	2.1181e+07	2.99002e+07	3.71631e+06	9.84509e+07	1.26718e+07	2.00345e+07	7.30768e+07	4.51497e+07	7.83963e+07
A0A0B4J1Y8	A0A0B4J1Y8	LV949_HUMAN	IGLV9-49	Immunoglobulin lambda variable 9-49	1.19886e+08	1.10852e+08	1.35946e+08	4.98373e+07	1.01102e+08	2.6837e+07	5.69242e+07	8.11034e+07	4.66049e+07	9.2366e+07	7.02781e+07	4.42143e+07	9.81742e+07	6.20225e+07	6.61328e+07	4.03255e+07	7.59265e+07	9.88679e+07	5.82426e+07	7.72175e+07
A0A0B4J1Y9	A0A0B4J1Y9	HV372_HUMAN	IGHV3-72	Immunoglobulin heavy variable 3-72	4.40216e+06	3.21281e+06	912448	1.12944e+06	1.62658e+06	1.06525e+06	2.56722e+06	2.47426e+06	3.52093e+06	5.81426e+06	3.39496e+06		1.24295e+06	667769	9.40089e+06		575325	2.23994e+06	2.33968e+06	2.85445e+06
A0A0B4J2D5;P0DPI2	A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	2.2419e+06	2.23261e+06	2.23765e+06	1.63749e+06	1.81651e+06	1.21468e+06	1.3316e+06	2.49807e+06	2.03127e+06	2.20472e+06	1.52274e+06	2.51888e+06	1.43274e+06	5.36314e+06	1.07806e+06	2.57651e+06	2.59725e+06	1.08507e+06	1.2288e+06	992883
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09	KV113_HUMAN;KVD13_HUMAN	IGKV1-13;IGKV1D-13	Immunoglobulin kappa variable 1D-13	2.48923e+06	7.45379e+06		8.09441e+06	2.36325e+06				2.63975e+06	1.13137e+07	1.69027e+06								2.34676e+07	
A0A0C4DH24	A0A0C4DH24	KV621_HUMAN	IGKV6-21	Immunoglobulin kappa variable 6-21	2.17299e+06	587840	754770	501569	837384	260579	854760	882851	873591	283309	335957		289516	80456.8	801242		72466.4	1.25432e+06	1.11271e+06	1.4688e+06
A0A0C4DH25	A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	Immunoglobulin kappa variable 3D-20	2.83253e+07	1.16302e+07	7.55421e+06	1.12515e+07	2.63536e+07	6.06098e+06	1.90152e+07	2.14575e+07	9.83552e+06	3.37664e+07	2.08217e+07	2.7997e+06	1.16118e+07	2.25118e+06	2.74732e+07	4.86085e+06	2.43405e+07	4.16014e+07	2.06936e+07	1.77051e+07
A0A0C4DH29	A0A0C4DH29	HV103_HUMAN	IGHV1-3	Immunoglobulin heavy variable 1-3	2.09558e+06	1.44902e+06	256562	355119					742109	1.17823e+06	354071				1.07131e+06		644690	1.70251e+06		2.08451e+06
A0A0C4DH31	A0A0C4DH31	HV118_HUMAN	IGHV1-18	Immunoglobulin heavy variable 1-18	1.86956e+06	657226	1.06662e+06	726157	1.14428e+06	379765	1.40151e+06	1.22605e+06	813933	868225	1.29126e+06			101174	1.92319e+06	265718	603787	2.06342e+06	3.44514e+06	3.92781e+06
A0A0C4DH33	A0A0C4DH33	HV124_HUMAN	IGHV1-24	Immunoglobulin heavy variable 1-24	711198	465885	449546	676851		211168	2.4527e+06	317907	225269	671227	692970				1.061e+06		231678	1.0196e+06	520039	546558
A0A0C4DH34	A0A0C4DH34	HV428_HUMAN	IGHV4-28	Immunoglobulin heavy variable 4-28	4.3744e+06	2.81942e+06	6.60203e+06	2.75145e+06	4.00135e+06	1.77028e+06	1.47838e+07	9.12056e+06	1.55532e+06	4.4159e+06	4.50769e+06	644813	6.61835e+06	406615	4.03909e+06	482061	1.03692e+06	8.60887e+06	6.64291e+06	3.2971e+06
A0A0C4DH35	A0A0C4DH35	HV335_HUMAN	IGHV3-35	Probable non-functional immunoglobulin heavy variable 3-35	141725		78632.5		659597	222466	171845	124515	211133	635884	627420		446034	559004	468881			302963	521241	148215
A0A0C4DH36	A0A0C4DH36	HV338_HUMAN	IGHV3-38	Probable non-functional immunoglobulin heavy variable 3-38	2.57582e+06	1.28379e+07	1.15237e+06	1.35749e+06	1.30855e+06	875904	1.76886e+06	5.79504e+06	1.77869e+06	1.66428e+06	1.73425e+07		697618	747141	3.88336e+06	197675	1.46423e+06	2.49108e+06	5.99563e+06	4.43383e+06
A0A0C4DH38	A0A0C4DH38	HV551_HUMAN	IGHV5-51	Immunoglobulin heavy variable 5-51	8.49839e+06	7.34314e+06	6.97195e+06	8.35335e+06	7.3426e+06	1.77033e+07	1.0232e+07	1.27109e+07	8.58149e+06	1.12786e+07	1.23603e+07	6.232e+06	1.83965e+07	4.1571e+06	2.67824e+07	6.54388e+06	4.98761e+06	1.65929e+07	1.19395e+07	4.54075e+07
A0A0C4DH43	A0A0C4DH43	HV70D_HUMAN	IGHV2-70D	Immunoglobulin heavy variable 2-70D	4.48012e+07	1.40835e+07	1.4006e+07	3.1001e+07	5.01713e+07	2.56888e+07	2.11322e+07	6.02635e+07	1.27628e+07	1.95799e+07	2.48089e+07	2.34631e+07	4.52513e+07	1.05961e+07	4.96904e+07	1.9684e+07	6.37476e+06	1.42452e+08	4.10396e+07	2.01928e+07
A0A0C4DH67	A0A0C4DH67	KV108_HUMAN	IGKV1-8	Immunoglobulin kappa variable 1-8	3.7873e+06	2.43174e+06	3.18501e+06	1.57357e+06	2.83915e+06	2.14244e+06	2.88365e+06	2.84381e+06	2.08296e+06	3.53645e+06	1.74001e+06		1.45104e+06	299399	2.94447e+06	606671	346235	4.47033e+06	3.79029e+06	2.75981e+06
A0A0G2JS06	A0A0G2JS06	LV539_HUMAN	IGLV5-39	Immunoglobulin lambda variable 5-39	5.88361e+06	729414	763060	473366	1.20438e+06		1.12852e+06	3.65022e+06	1.57792e+06	2.67649e+06	782700		1.41119e+06		2.73063e+06		2.61823e+06	1.86041e+06	1.10534e+06	2.9728e+06
A0A0J9YVY3	A0A0J9YVY3	HV741_HUMAN	IGHV7-4-1	Immunoglobulin heavy variable 7-4-1	567887	393114												56238.7			655378			225281
A0A0J9YX35	A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	Immunoglobulin heavy variable 3-64D	1.97139e+06	9.24367e+06	4.22594e+06	1.21382e+06	774585	1.73251e+06	3.3143e+06	1.68528e+06	1.50897e+06	2.70445e+06	1.75322e+06		1.10753e+06		4.94421e+06			4.5098e+06	2.28923e+06	2.9021e+06
A0A0J9YXX1	A0A0J9YXX1	HV5X1_HUMAN	IGHV5-10-1	Immunoglobulin heavy variable 5-10-1	742936	6.93556e+06	4.601e+06	7.76376e+06	5.2522e+06	486481	7.73156e+06	6.14214e+06	1.08724e+06	6.56254e+06	2.96794e+06	5.9545e+06	2.44312e+06	2.49655e+06	2.20926e+07	5.87528e+06	3.99991e+06	2.64029e+07	3.2747e+06	1.36553e+06
A0A1B0GTC6	A0A1B0GTC6	CC085_HUMAN	C3orf85	Uncharacterized protein C3orf85	4.86028e+06	6.2716e+06	4.12981e+06	1.65749e+06	4.67866e+06	3.75647e+06	1.40697e+07	4.56531e+06	4.8023e+06	4.20078e+06	4.63827e+06	1.93385e+06	4.04269e+06	1.16957e+06	7.85622e+06	4.0206e+06	2.69287e+06	4.86573e+06	1.18071e+07	3.21069e+06
A0A494C071	A0A494C071	PWWP4_HUMAN	PWWP4	PWWP domain-containing DNA repair factor 4		483306	1.02675e+06	1.89393e+06	2.04868e+06	1.01135e+06		1.2812e+06		1.62701e+06		4.69322e+06	5.61971e+06	6.17576e+06	1.09533e+06	4.90124e+06	3.15764e+06	2.70154e+06		
A0A5B6	A0A0K0K1C4;A0A5B6	TVB28_HUMAN	TRBV28	T cell receptor beta variable 28	468300	798516	289271	310058	1.24311e+06	293844	743279	352074	505933	327923	273117	267261	236376		716251	896831	1.41743e+06		3.98323e+06	4.27601e+06
A0A5B9;P01850;P0DTU4	P01850;P0DTU4;A0A5B9	TRBC1_HUMAN;TRBC2_HUMAN;TRBR2_HUMAN	TRB;TRBC1;TRBC2	T cell receptor beta constant 2	260097	114438	206821	109599	418838	122508	235299	206315	210359		201495	194892	294909		288378			260893		400578
A0A8I5KQE6;P08865	P08865;A0A8I5KQE6	RPSA2_HUMAN;RSSA_HUMAN	RPSA;RPSA2	Small ribosomal subunit protein uS2B	1.19072e+06	814081	1.24166e+06	1.14476e+06	1.43068e+06	1.09903e+06	1.78951e+06	1.76736e+06	1.74117e+06	1.26799e+06	2.20947e+06	1.72484e+06	2.04595e+06	743202	1.19763e+06	1.33485e+06	833130	1.41089e+06	2.13481e+06	1.43083e+06
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	750525	690728	680159	656199	636446	701660	712867	475022	695935	658027	679848	486413	461197	1.05149e+06	505016	633742	767666	555063	634521	744208
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	839833	728315	736064	619319	943418	555801	720932	890758	980780	761855	861027	1.09629e+06	890284	3.80622e+06	686526	1.07765e+06	1.36831e+06	671191	866885	776634
A0M8Q6	A0M8Q6	IGLC7_HUMAN	IGLC7	Immunoglobulin lambda constant 7	1.64005e+08	6.47411e+07	9.63823e+07	7.94623e+07	9.00902e+07	2.3635e+07	7.16878e+07	9.41288e+07	6.20145e+07	1.17696e+08	1.4458e+08	4.39481e+07	9.40504e+07	3.15254e+07	1.46638e+08	2.90722e+07	5.76513e+07	1.65358e+08	1.72973e+08	1.23941e+08
A1A4S6	A1A4S6	RHG10_HUMAN	ARHGAP10	Rho GTPase-activating protein 10	531200	505522	451750	492479	625874	414839	472547	398639	404190	455386	528804	653276	671261	1.13679e+06	602510	653277	537431	292952	499299	589735
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	740287	629921	426253	976920	1.07225e+06	365903	471499	587534	650306	1.03355e+06	358227	270961		888645		587040	436313	1.0588e+06		1.01617e+06
A1L3X0	A1L3X0	ELOV7_HUMAN	ELOVL7	Very long chain fatty acid elongase 7	1.62423e+06	1.50637e+06	1.08524e+06	1.01176e+06	1.75634e+06	801876	1.58829e+06	2.85958e+06	1.34229e+06	1.29265e+06	812482	1.61806e+06		4.44558e+06	1.02062e+06	1.52003e+06	1.24573e+06		1.35853e+06	951775
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B									813814					2.36147e+06	679764	956239	1.05794e+06			
A2NJV5	A2NJV5	KV229_HUMAN	IGKV2-29	Immunoglobulin kappa variable 2-29					292569		5.46138e+06					1.57853e+06	2.91313e+06							
A2RRP1	A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex		404307	455163						358298	249107	172268			453009		173635	201756			391695
A2RTX5	A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic		46891.5	64437.2			114535				70654.3	178969	151520		399194		212376	144017		99357.3	1.30602e+06
A2RUS2	A2RUS2	DEND3_HUMAN	DENND3	DENN domain-containing protein 3	1.67358e+06	1.75694e+06	2.13389e+06	1.93718e+06	1.87128e+06	2.26249e+06	1.64552e+06	2.16928e+06	1.75608e+06	2.11055e+06	1.74405e+06	2.06818e+06	1.82698e+06	2.51254e+06	1.01917e+06	1.85921e+06	1.59135e+06	835978	1.2352e+06	1.23318e+06
A4D1B5	A4D1B5	GSAP_HUMAN	GSAP	Gamma-secretase-activating protein	332709	236277	341871	237662	280199	285482	249055	330293	199757	405528	254062	270628	331763	685366	288795		432289	170837	202221	181331
A4D1P6	A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91														170375		130912				
